[2025-01-04 13:09:17,411][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-04 13:09:22,523][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-04 13:09:27,617][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-04 13:09:32,799][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-04 13:09:38,151][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-04 13:09:43,646][root][INFO] - Epoch 5, EarlyStopper reset counter
[2025-01-04 13:09:49,200][root][INFO] - Epoch 6, EarlyStopper reset counter
[2025-01-04 13:09:54,538][root][INFO] - Epoch 7, EarlyStopper reset counter
[2025-01-04 13:10:00,031][root][INFO] - Epoch 8, EarlyStopper reset counter
[2025-01-04 13:10:05,439][root][INFO] - Epoch 9, EarlyStopper reset counter
[2025-01-04 13:10:10,831][root][INFO] - Epoch 10, EarlyStopper reset counter
[2025-01-04 13:10:16,292][root][INFO] - Epoch 11, EarlyStopper reset counter
[2025-01-04 13:10:21,735][root][INFO] - Epoch 12, EarlyStopper reset counter
[2025-01-04 13:10:27,218][root][INFO] - Epoch 13, EarlyStopper reset counter
[2025-01-04 13:10:32,933][root][INFO] - Epoch 14, EarlyStopper reset counter
[2025-01-04 13:10:38,767][root][INFO] - Epoch 15, EarlyStopper reset counter
[2025-01-04 13:10:44,403][root][INFO] - Epoch 16, EarlyStopper counter: 1/10
[2025-01-04 13:10:50,442][root][INFO] - Epoch 17, EarlyStopper reset counter
[2025-01-04 13:10:56,650][root][INFO] - Epoch 18, EarlyStopper counter: 1/10
[2025-01-04 13:11:02,285][root][INFO] - Epoch 19, EarlyStopper counter: 2/10
